fold,threshold,C,l1_ratio,class_weight,clipped_values,recall,precision,f1,roc_auc,accuracy
1,0.3,0.1,0.8,"0:1.0,1:4.0",1872,0.5277777777777778,0.14393939393939395,0.2261904761904762,0.6973236487370763,0.7176981541802389
2,0.3,0.1,0.8,"0:1.0,1:4.0",1859,0.5205479452054794,0.1444866920152091,0.2261904761904762,0.7028786508141639,0.7176981541802389
3,0.3,0.1,0.8,"0:1.0,1:4.0",1883,0.3835616438356164,0.10606060606060606,0.1661721068249258,0.6545942103902818,0.6948968512486428
4,0.3,0.1,0.8,"0:1.0,1:4.0",1912,0.4027777777777778,0.10069444444444445,0.16111111111111112,0.6297006027253669,0.6717391304347826
5,0.3,0.1,0.8,"0:1.0,1:4.0",1895,0.5277777777777778,0.13970588235294118,0.22093023255813954,0.6948866614255764,0.7086956521739131
1,0.3,0.1,0.8,"0:1.0,1:6.0",1872,0.7361111111111112,0.12412177985948478,0.2124248496993988,0.6981088862714304,0.5732899022801303
2,0.3,0.1,0.8,"0:1.0,1:6.0",1859,0.7671232876712328,0.13023255813953488,0.22266401590457258,0.7060448436288447,0.5754614549402823
3,0.3,0.1,0.8,"0:1.0,1:6.0",1883,0.7534246575342466,0.1244343891402715,0.21359223300970873,0.6555472990436806,0.5602605863192183
4,0.3,0.1,0.8,"0:1.0,1:6.0",1912,0.6527777777777778,0.1019522776572668,0.17636022514071295,0.6320754716981132,0.5228260869565218
5,0.3,0.1,0.8,"0:1.0,1:6.0",1895,0.75,0.12244897959183673,0.21052631578947367,0.695394392033543,0.5597826086956522
1,0.3,1.0,0.2,none,1872,0.027777777777777776,0.25,0.05,0.6981579636173276,0.9174809989142236
2,0.3,1.0,0.2,none,1859,0.0273972602739726,0.6666666666666666,0.05263157894736842,0.7024101835099509,0.9218241042345277
3,0.3,1.0,0.2,none,1883,0.0136986301369863,0.2,0.02564102564102564,0.643964848798139,0.9174809989142236
4,0.3,1.0,0.2,none,1912,0.013888888888888888,0.16666666666666666,0.02564102564102564,0.6353511530398323,0.9173913043478261
5,0.3,1.0,0.2,none,1895,0.013888888888888888,0.3333333333333333,0.02666666666666667,0.6948539046121593,0.9206521739130434
1,0.3,1.0,0.2,balanced,1872,0.9722222222222222,0.10670731707317073,0.19230769230769232,0.6971109802381886,0.36156351791530944
2,0.3,1.0,0.2,balanced,1859,0.9315068493150684,0.10493827160493827,0.18862690707350901,0.7022163349702766,0.36482084690553745
3,0.3,1.0,0.2,balanced,1883,0.9041095890410958,0.1,0.1800818553888131,0.6440456190230033,0.3474484256243214
4,0.3,1.0,0.2,balanced,1912,0.8611111111111112,0.09393939393939393,0.16939890710382513,0.6379389412997903,0.3391304347826087
5,0.3,1.0,0.2,balanced,1895,0.8472222222222222,0.09172932330827067,0.1655359565807327,0.69822785639413,0.33152173913043476
1,0.3,1.0,0.2,"0:1.0,1:2.0",1872,0.1527777777777778,0.15942028985507245,0.15602836879432624,0.6985669414998036,0.8707926167209555
2,0.3,1.0,0.2,"0:1.0,1:2.0",1859,0.1506849315068493,0.21153846153846154,0.176,0.7014894029464978,0.8881650380021715
3,0.3,1.0,0.2,"0:1.0,1:2.0",1883,0.0821917808219178,0.10909090909090909,0.09375,0.6428502196950118,0.8740499457111836
4,0.3,1.0,0.2,"0:1.0,1:2.0",1912,0.18055555555555555,0.15853658536585366,0.16883116883116883,0.6364321278825996,0.8608695652173913
